latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
29.889,76.771,319.1,1.1,1,10-10-2019,815,Aqua,MODIS,70,6.0NRT,304.4,8.8,D
29.887,76.76,325.8,1.1,1,10-10-2019,815,Aqua,MODIS,79,6.0NRT,305.4,16.4,D
29.69,75.27,316.3,1,1,10-10-2019,815,Aqua,MODIS,58,6.0NRT,299.7,7.5,D
29.894,76.736,318.6,1.1,1,10-10-2019,815,Aqua,MODIS,70,6.0NRT,303.6,7.6,D
29.891,76.276,329.9,1.1,1,10-10-2019,815,Aqua,MODIS,82,6.0NRT,303.2,21.3,D
29.91,76.366,313.2,1.1,1,10-10-2019,815,Aqua,MODIS,53,6.0NRT,300.9,4.2,D
30.036,76.832,316.2,1.1,1,10-10-2019,815,Aqua,MODIS,66,6.0NRT,302.7,6.4,D
30.11,77.341,312.5,1.2,1.1,10-10-2019,815,Aqua,MODIS,58,6.0NRT,301.4,5.8,D
30.112,77.012,320.4,1.1,1.1,10-10-2019,815,Aqua,MODIS,73,6.0NRT,301.8,12.4,D
30.058,76.582,312.4,1.1,1,10-10-2019,815,Aqua,MODIS,40,6.0NRT,300.5,4.6,D
30.099,76.758,314.8,1.1,1,10-10-2019,815,Aqua,MODIS,58,6.0NRT,302.5,5.4,D
30.108,76.476,312.9,1.1,1,10-10-2019,815,Aqua,MODIS,37,6.0NRT,301,4.1,D
30.169,76.808,318.3,1.1,1,10-10-2019,815,Aqua,MODIS,64,6.0NRT,304.1,8.7,D
30.004,75.543,315.9,1,1,10-10-2019,815,Aqua,MODIS,60,6.0NRT,299.8,9.1,D
30.135,76.248,312.9,1.1,1,10-10-2019,815,Aqua,MODIS,55,6.0NRT,301.8,5.3,D
30.237,76.82,316.1,1.1,1,10-10-2019,815,Aqua,MODIS,67,6.0NRT,302.7,7.3,D
30.262,76.672,310.4,1.1,1,10-10-2019,815,Aqua,MODIS,48,6.0NRT,299.9,4.9,D
30.276,76.555,320.8,1.1,1,10-10-2019,815,Aqua,MODIS,74,6.0NRT,300.4,13.5,D
30.274,76.544,314.8,1.1,1,10-10-2019,815,Aqua,MODIS,64,6.0NRT,300.9,7.2,D
30.23,76.06,311.1,1,1,10-10-2019,815,Aqua,MODIS,47,6.0NRT,300.7,4.9,D
30.31,76.474,315.7,1.1,1,10-10-2019,815,Aqua,MODIS,66,6.0NRT,301.8,6.6,D
30.566,76.74,317.2,1.1,1,10-10-2019,815,Aqua,MODIS,71,6.0NRT,302.4,8.8,D
30.296,74.159,316.1,1,1,10-10-2019,815,Aqua,MODIS,61,6.0NRT,302.1,7.2,D
30.253,73.37,325.9,1,1,10-10-2019,815,Aqua,MODIS,77,6.0NRT,302.6,16.5,D
30.251,73.36,314.8,1,1,10-10-2019,815,Aqua,MODIS,53,6.0NRT,301.4,5.6,D
30.39,73.607,326.2,1,1,10-10-2019,815,Aqua,MODIS,78,6.0NRT,303.9,16.2,D
30.811,76.158,316,1.1,1,10-10-2019,815,Aqua,MODIS,68,6.0NRT,300.3,8.1,D
30.81,76.147,320.8,1.1,1,10-10-2019,815,Aqua,MODIS,75,6.0NRT,300.9,13.1,D
30.688,75.229,315.6,1,1,10-10-2019,815,Aqua,MODIS,63,6.0NRT,300.9,8.2,D
30.897,76.313,313.2,1.1,1,10-10-2019,815,Aqua,MODIS,59,6.0NRT,301.9,5.8,D
30.558,73.865,317.9,1,1,10-10-2019,815,Aqua,MODIS,65,6.0NRT,304,6.5,D
30.523,73.627,317.5,1,1,10-10-2019,815,Aqua,MODIS,59,6.0NRT,302.8,6.6,D
30.511,73.489,314.7,1,1,10-10-2019,815,Aqua,MODIS,53,6.0NRT,302.3,4.8,D
30.541,73.628,317.7,1,1,10-10-2019,815,Aqua,MODIS,63,6.0NRT,304.2,6,D
30.537,73.543,316.9,1,1,10-10-2019,815,Aqua,MODIS,61,6.0NRT,302.5,6.4,D
30.571,73.707,323.4,1,1,10-10-2019,815,Aqua,MODIS,74,6.0NRT,303.1,11.2,D
30.579,73.695,319.6,1,1,10-10-2019,815,Aqua,MODIS,57,6.0NRT,304.3,7.5,D
30.577,73.685,319.4,1,1,10-10-2019,815,Aqua,MODIS,61,6.0NRT,303.7,7.3,D
30.533,73.392,315,1,1,10-10-2019,815,Aqua,MODIS,52,6.0NRT,302.4,4.9,D
30.624,73.75,319.9,1,1,10-10-2019,815,Aqua,MODIS,68,6.0NRT,304.2,8,D
30.603,73.615,324.9,1,1,10-10-2019,815,Aqua,MODIS,76,6.0NRT,302.1,13.5,D
30.602,73.605,320.6,1,1,10-10-2019,815,Aqua,MODIS,69,6.0NRT,302.1,8.9,D
30.66,73.935,314.3,1,1,10-10-2019,815,Aqua,MODIS,50,6.0NRT,301.3,4.5,D
30.608,73.582,318.1,1,1,10-10-2019,815,Aqua,MODIS,20,6.0NRT,301.8,6.4,D
30.648,73.788,315.5,1,1,10-10-2019,815,Aqua,MODIS,57,6.0NRT,302.9,4.7,D
30.622,73.551,314.3,1,1,10-10-2019,815,Aqua,MODIS,47,6.0NRT,301.9,4.3,D
30.711,73.897,315.7,1,1,10-10-2019,815,Aqua,MODIS,56,6.0NRT,302.4,5.4,D
31.087,76.29,320.4,1.1,1,10-10-2019,815,Aqua,MODIS,75,6.0NRT,303.1,10.8,D
30.763,73.94,316.2,1,1,10-10-2019,815,Aqua,MODIS,59,6.0NRT,303.1,6.4,D
30.761,73.929,315.4,1,1,10-10-2019,815,Aqua,MODIS,56,6.0NRT,302.8,5.8,D
31.094,76.294,314.1,1.1,1,10-10-2019,815,Aqua,MODIS,65,6.0NRT,301.9,5.5,D
31.093,76.283,316.9,1.1,1,10-10-2019,815,Aqua,MODIS,70,6.0NRT,303.4,8.1,D
30.881,74.568,322.3,1,1,10-10-2019,815,Aqua,MODIS,73,6.0NRT,301.8,13.1,D
30.768,73.73,316.7,1,1,10-10-2019,815,Aqua,MODIS,60,6.0NRT,303.9,5.1,D
30.815,73.859,315.5,1,1,10-10-2019,815,Aqua,MODIS,56,6.0NRT,303.1,4.3,D
30.81,73.764,321.2,1,1,10-10-2019,815,Aqua,MODIS,70,6.0NRT,303.1,9.5,D
30.932,74.537,315.1,1,1,10-10-2019,815,Aqua,MODIS,56,6.0NRT,301.4,6.2,D
35.322,73.8,317,1.2,1.1,11-10-2019,545,Terra,MODIS,76,6.0NRT,296.4,14.7,D
33.057,74.214,314.3,1.1,1,11-10-2019,545,Terra,MODIS,66,6.0NRT,298.7,9.9,D
33.056,74.225,317.4,1.1,1,11-10-2019,545,Terra,MODIS,72,6.0NRT,298.4,12.8,D
32.029,74.877,313.9,1,1,11-10-2019,545,Terra,MODIS,0,6.0NRT,301.1,7.4,D
31.59,75.681,316.5,1,1,11-10-2019,545,Terra,MODIS,69,6.0NRT,299.8,8.3,D
31.488,72.27,315.6,1.2,1.1,11-10-2019,545,Terra,MODIS,44,6.0NRT,297.4,9.8,D
30.003,76.811,315.9,1.1,1,11-10-2019,545,Terra,MODIS,66,6.0NRT,303,5.6,D
29.92,76.81,317.4,1.1,1,11-10-2019,545,Terra,MODIS,67,6.0NRT,303.4,6.6,D
29.911,76.808,318.1,1.1,1,11-10-2019,545,Terra,MODIS,69,6.0NRT,302.6,7.5,D
29.93,76.335,314.1,1,1,11-10-2019,545,Terra,MODIS,61,6.0NRT,301.4,5.2,D
29.897,76.372,318.4,1,1,11-10-2019,545,Terra,MODIS,70,6.0NRT,301.6,8.2,D
29.909,76.234,314.3,1,1,11-10-2019,545,Terra,MODIS,61,6.0NRT,300.5,5.9,D
29.863,76.528,313.7,1,1,11-10-2019,545,Terra,MODIS,41,6.0NRT,301,4.7,D
29.778,76.998,320.2,1.1,1,11-10-2019,545,Terra,MODIS,73,6.0NRT,301.1,11,D
29.851,76.313,315.8,1,1,11-10-2019,545,Terra,MODIS,65,6.0NRT,300.3,7.7,D
29.772,76.634,313.1,1,1,11-10-2019,545,Terra,MODIS,58,6.0NRT,300.4,5.6,D
29.714,76.766,316.7,1.1,1,11-10-2019,545,Terra,MODIS,67,6.0NRT,301.7,6.8,D
35.312,73.798,331.8,1.2,1.1,11-10-2019,545,Terra,MODIS,87,6.0NRT,294.9,35.4,D
35.178,73.636,318.4,1.2,1.1,11-10-2019,545,Terra,MODIS,71,6.0NRT,292.3,17,D
30.765,73.698,313.5,3.4,1.7,11-10-2019,900,Aqua,MODIS,39,6.0NRT,294.9,23.8,D
30.753,73.707,317.5,3.4,1.7,11-10-2019,900,Aqua,MODIS,65,6.0NRT,295.2,43.5,D
30.749,73.699,315.3,3.4,1.7,11-10-2019,900,Aqua,MODIS,58,6.0NRT,295.1,33.4,D
31.523,75.122,314.3,1.1,1,12-10-2019,805,Aqua,MODIS,49,6.0NRT,299.4,5.8,D
29.425,76.903,313.1,1,1,12-10-2019,805,Aqua,MODIS,46,6.0NRT,300.5,5.7,D
29.474,77.105,312.9,1,1,12-10-2019,805,Aqua,MODIS,43,6.0NRT,300,3.7,D
29.523,76.94,315.2,1,1,12-10-2019,805,Aqua,MODIS,43,6.0NRT,301.7,4.9,D
29.531,76.928,319.5,1,1,12-10-2019,805,Aqua,MODIS,69,6.0NRT,302.1,9.3,D
29.567,76.926,317.4,1,1,12-10-2019,805,Aqua,MODIS,65,6.0NRT,301.2,8.2,D
29.603,77.046,315.9,1,1,12-10-2019,805,Aqua,MODIS,62,6.0NRT,302.3,5.8,D
29.58,76.827,321.4,1,1,12-10-2019,805,Aqua,MODIS,72,6.0NRT,302.7,11.8,D
29.638,76.848,327.9,1,1,12-10-2019,805,Aqua,MODIS,80,6.0NRT,304.9,17.8,D
29.626,76.704,314.5,1,1,12-10-2019,805,Aqua,MODIS,56,6.0NRT,300.9,6.4,D
29.62,76.479,313.8,1,1,12-10-2019,805,Aqua,MODIS,50,6.0NRT,301.1,5.2,D
29.618,76.469,314.3,1,1,12-10-2019,805,Aqua,MODIS,53,6.0NRT,301.7,6,D
29.678,76.801,326.3,1,1,12-10-2019,805,Aqua,MODIS,78,6.0NRT,302.8,15.7,D
29.707,76.752,316.1,1,1,12-10-2019,805,Aqua,MODIS,62,6.0NRT,301.9,5.5,D
29.726,76.813,319,1,1,12-10-2019,805,Aqua,MODIS,65,6.0NRT,302.8,8.9,D
29.702,76.657,343.7,1,1,12-10-2019,805,Aqua,MODIS,92,6.0NRT,302.3,44.6,D
29.737,76.826,317.7,1,1,12-10-2019,805,Aqua,MODIS,64,6.0NRT,302.8,7.5,D
29.738,76.773,316.4,1,1,12-10-2019,805,Aqua,MODIS,62,6.0NRT,302.8,6.9,D
29.736,76.762,316.1,1,1,12-10-2019,805,Aqua,MODIS,63,6.0NRT,302.6,6.3,D
30.267,80.537,306.7,1.2,1.1,12-10-2019,805,Aqua,MODIS,40,6.0NRT,293.2,7.6,D
29.842,77.039,315.2,1,1,12-10-2019,805,Aqua,MODIS,57,6.0NRT,302.6,4.9,D
29.827,76.565,317.5,1,1,12-10-2019,805,Aqua,MODIS,35,6.0NRT,301.7,7.2,D
29.846,76.572,317.9,1,1,12-10-2019,805,Aqua,MODIS,49,6.0NRT,301.4,7.3,D
29.855,76.506,315.4,1,1,12-10-2019,805,Aqua,MODIS,57,6.0NRT,301.3,6.3,D
29.916,76.848,317.2,1,1,12-10-2019,805,Aqua,MODIS,67,6.0NRT,301.7,7.1,D
29.846,76.388,314,1,1,12-10-2019,805,Aqua,MODIS,54,6.0NRT,299.5,5.4,D
