Year,Month,Day,Hour,PM 2.5
2019,10,29,11,298.3
2019,10,29,12,286.5
2019,10,29,13,284.7
2019,10,29,14,302
2019,10,29,15,299.9
2019,10,29,16,303.9
2019,10,29,17,315.7
2019,10,29,18,312.3
2019,10,29,19,310.3
2019,10,29,20,304.4
2019,10,29,21,306.6
2019,10,29,22,304.6
2019,10,29,23,297.5
2019,10,30,0,298.7
2019,10,30,1,248.2
2019,10,30,2,247.3
2019,10,30,3,215.6
2019,10,30,4,209.2
2019,10,30,5,197.6
2019,10,30,6,204.8
2019,10,30,7,231.2
2019,10,30,8,229.3
2019,10,30,9,217.7
2019,10,30,10,141.2
2019,10,30,11,120.3
2019,10,30,12,127.2
2019,10,30,13,27.6
2019,10,30,14,56.8
2019,10,30,15,58.5
2019,10,30,16,66.8
2019,10,30,17,45.3
2019,10,30,18,44.2
2019,10,30,19,40.3
2019,10,30,20,36.3
2019,10,30,21,32.2
2019,10,30,22,27.4
2019,10,30,23,24.8
2019,10,31,0,23.3
2019,10,31,1,23.5
2019,10,31,2,25.3
2019,10,31,3,26.4
2019,10,31,4,31
2019,10,31,5,33.4
2019,10,31,6,32.8
2019,10,31,7,30.7
2019,10,31,8,25.6
2019,10,31,9,22.6
2019,10,31,10,20
2019,10,31,11,38.1
2019,10,31,12,39.1
2019,10,31,13,41.3
2019,10,31,14,47.9
2019,10,31,15,52.1
2019,10,31,16,36.8
2019,10,31,17,34.1
2019,10,31,18,31.9
2019,10,31,19,31.7
2019,10,31,20,28.7
2019,10,31,21,25.1
2019,10,31,22,24.4
2019,10,31,23,402.4
2019,11,1,0,406.2
2019,11,1,1,425.4
2019,11,1,2,416
2019,11,1,3,435.1
2019,11,1,4,435.5
2019,11,1,5,447.9
2019,11,1,6,470.5
2019,11,1,7,398.2
2019,11,1,8,396.6
2019,11,1,9,396.5
2019,11,1,10,321.9
2019,11,1,11,264.7
2019,11,1,12,262.7
2019,11,1,13,314.9
2019,11,1,14,311.5
2019,11,1,15,306.3
2019,11,1,16,279
2019,11,1,17,257.1
2019,11,1,18,219.4
2019,11,1,19,213.4
2019,11,1,20,205.6
2019,11,1,21,202.7
2019,11,1,22,209.4
2019,11,1,23,212.6
2019,11,2,0,228.1
2019,11,2,1,238.7
2019,11,2,2,216.9
2019,11,2,3,221.9
2019,11,2,4,220.8
2019,11,2,5,247.5
2019,11,2,6,348.5
2019,11,2,7,367.9
2019,11,2,8,347.5
2019,11,2,9,347.1
2019,11,2,10,325.9
2019,11,2,11,269.1
2019,11,2,12,286.7
2019,11,2,13,342.8
2019,11,2,14,432.8
2019,11,2,15,422.7
2019,11,2,16,410.7
2019,11,2,17,439.8
2019,11,2,18,429.9
2019,11,2,19,446.6
2019,11,2,20,452.9
2019,11,2,21,436.6
2019,11,2,22,496.2
2019,11,2,23,545.4
2019,11,3,0,589.6
2019,11,3,1,685
2019,11,3,2,692.6
2019,11,3,3,744.1
2019,11,3,4,722.1
2019,11,3,5,828.4
2019,11,3,6,894.4
2019,11,3,7,962.3
2019,11,3,8,987.9
2019,11,3,9,922.1
2019,11,3,10,743.4
2019,11,3,11,553.1
2019,11,3,12,478.3
2019,11,3,13,340.7
2019,11,3,14,299.7
2019,11,3,15,303.5
2019,11,3,16,312.9
2019,11,3,17,268.4
2019,11,3,18,203.3
2019,11,3,19,189.7
2019,11,3,20,186.6
2019,11,3,21,232.9
2019,11,3,22,355.4
2019,11,3,23,433.9
2019,11,4,1,562.1
2019,11,4,2,590.8
2019,11,4,3,553.2
2019,11,4,4,530.3
2019,11,4,5,502.3
2019,11,4,6,492.8
2019,11,4,7,270.3
2019,11,4,8,226.3
2019,11,4,9,181.2
2019,11,4,10,143.2
2019,11,4,13,90.8
2019,11,4,14,92.2
2019,11,4,15,99.2
2019,11,4,16,113.5
2019,11,4,17,117.3
2019,11,4,18,139.1
2019,11,4,19,198.9
2019,11,4,20,255.7
2019,11,4,21,317.9
2019,11,4,22,391.4
2019,11,4,23,384.1
2019,11,5,1,386.1
2019,11,5,2,353.2
2019,11,5,3,322.1
2019,11,5,4,285.9
2019,11,5,5,236.8
2019,11,5,6,189.4
2019,11,5,7,169.2
2019,11,5,8,119.1
2019,11,5,9,100
2019,11,5,10,68
2019,11,5,11,60.3
2019,11,5,12,62.7
2019,11,5,13,61
2019,11,5,14,74
2019,11,5,15,89.9
2019,11,5,16,100.9
2019,11,5,17,100.7
2019,11,5,18,105.1
2019,11,5,19,123.2
2019,11,5,20,121.1
2019,11,5,21,114.2
